ID,Marital Status,Gender,Yearly Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,BikeBuyer
13837,Single,Female,30000,0,Partial College,Clerical,Yes,1,2-5 Miles,Europe,30,No
13838,Single,Female,30000,0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No
13863,Married,Male,60000,0,Graduate Degree,Skilled Manual,Yes,0,2-5 Miles,North America,34,No
13868,Single,Female,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,36,No
13869,Married,Female,50000,1,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,37,No
13875,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,36,No
13876,Married,Male,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,37,No
13880,Single,Male,60000,2,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,38,No
13881,Single,Female,60000,2,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,38,No
13888,Single,Male,70000,2,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,39,No
13893,Married,Male,70000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,40,No
13899,Married,Male,70000,5,Graduate Degree,Professional,Yes,2,2-5 Miles,North America,37,No
13913,Single,Female,80000,4,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,41,No
13921,Married,Male,60000,2,Bachelors,Professional,Yes,2,2-5 Miles,North America,43,No
13922,Married,Male,60000,2,Bachelors,Professional,Yes,2,2-5 Miles,North America,43,No
13924,Single,Female,60000,0,Bachelors,Professional,Yes,1,2-5 Miles,North America,38,No
13926,Single,Male,60000,0,Bachelors,Professional,No,1,2-5 Miles,North America,43,No
13929,Single,Male,40000,2,High School,Skilled Manual,Yes,2,2-5 Miles,North America,44,No
13931,Married,Male,70000,0,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,44,No
13933,Married,Female,60000,0,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,45,No
13934,Married,Male,40000,2,High School,Skilled Manual,Yes,2,2-5 Miles,North America,46,No
13935,Married,Female,40000,2,High School,Skilled Manual,Yes,2,2-5 Miles,North America,45,No
13937,Single,Female,70000,0,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,39,No
13940,Single,Female,60000,0,Graduate Degree,Professional,No,1,2-5 Miles,North America,39,No
13943,Married,Female,60000,0,Partial College,Skilled Manual,Yes,1,2-5 Miles,North America,46,No
29451,Single,Male,10000,0,Partial College,Manual,No,1,2-5 Miles,Europe,64,No
13950,Married,Female,70000,4,Graduate Degree,Professional,Yes,1,2-5 Miles,North America,48,No
13951,Single,Male,60000,0,Graduate Degree,Management,Yes,1,2-5 Miles,North America,77,No
13954,Married,Male,60000,2,Bachelors,Professional,Yes,1,2-5 Miles,Pacific,38,No
14035,Single,Male,80000,0,Bachelors,Management,Yes,1,2-5 Miles,North America,33,No
14123,Married,Male,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,26,No
14142,Married,Male,10000,1,High School,Manual,Yes,1,2-5 Miles,Europe,46,No
14144,Married,Male,10000,1,High School,Manual,Yes,1,2-5 Miles,Europe,47,No
14152,Single,Male,20000,0,Partial College,Manual,No,1,2-5 Miles,Europe,36,No
14153,Single,Male,20000,0,Partial College,Manual,No,1,2-5 Miles,Europe,35,No
14176,Married,Female,80000,0,Partial College,Professional,No,2,2-5 Miles,Europe,60,No
14177,Married,Male,80000,0,Partial College,Professional,No,2,2-5 Miles,Europe,60,No
14187,Married,Male,100000,4,Partial College,Professional,Yes,4,2-5 Miles,Europe,54,No
14190,Married,Female,90000,1,High School,Professional,Yes,3,2-5 Miles,Europe,55,No
14241,Married,Female,110000,4,Graduate Degree,Management,Yes,1,2-5 Miles,North America,65,No
14280,Single,Male,80000,0,Bachelors,Management,No,1,2-5 Miles,North America,33,No
14372,Married,Female,60000,0,Graduate Degree,Skilled Manual,Yes,0,2-5 Miles,North America,34,No
14373,Married,Male,60000,0,Graduate Degree,Skilled Manual,Yes,0,2-5 Miles,North America,34,No
14383,Married,Male,70000,0,Bachelors,Management,Yes,2,2-5 Miles,North America,61,No
14384,Married,Female,60000,0,Bachelors,Management,Yes,2,2-5 Miles,North America,61,No
14389,Married,Male,60000,1,Bachelors,Management,Yes,0,2-5 Miles,North America,59,No
14390,Married,Male,60000,1,Bachelors,Management,No,0,2-5 Miles,North America,58,No
14401,Married,Male,60000,1,Partial College,Professional,No,2,2-5 Miles,North America,57,No
14404,Single,Female,60000,1,Partial College,Professional,Yes,2,2-5 Miles,North America,56,No
14405,Married,Male,60000,1,Partial College,Professional,Yes,2,2-5 Miles,North America,56,No
14407,Married,Male,60000,1,Partial College,Professional,Yes,1,2-5 Miles,North America,56,No
14446,Married,Male,80000,3,Bachelors,Management,Yes,0,2-5 Miles,North America,42,No
14455,Married,Female,80000,3,Partial College,Professional,Yes,2,2-5 Miles,North America,43,No
14549,Married,Male,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Europe,50,No
14550,Married,Female,10000,0,Bachelors,Clerical,Yes,1,2-5 Miles,Europe,69,No
14556,Married,Male,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Europe,63,No
14557,Married,Male,10000,0,Partial College,Manual,Yes,1,2-5 Miles,Pacific,26,No
14563,Married,Male,50000,1,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,37,No
14564,Married,Female,50000,1,Bachelors,Skilled Manual,Yes,1,2-5 Miles,North America,37,No
14567,Married,Male,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,35,No
14568,Single,Female,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,35,No
14573,Married,Female,60000,0,Graduate Degree,Professional,Yes,0,2-5 Miles,North America,37,No
