ID,Marital Status,Gender,Yearly Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,BikeBuyer
22711,Single,Male,30000,0,Partial College,Clerical,No,1,0-1 Miles,Europe,33,Yes
13555,Married,Female,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes
2,Single,Male,160000,0,Graduate Degree,Management,Yes,2,0-1 Miles,Pacific,47,No
25410,Single,Female,70000,2,Bachelors,Skilled Manual,No,1,0-1 Miles,North America,38,Yes
21008,Single,Female,20000,1,Partial College,Manual,No,0,0-1 Miles,Europe,46,Yes
11087,Married,Female,70000,2,Partial College,Professional,No,0,0-1 Miles,North America,49,No
11094,Single,Male,70000,0,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,44,No
11098,Single,Female,60000,0,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,No
11115,Married,Male,70000,4,Partial College,Skilled Manual,Yes,2,0-1 Miles,Pacific,44,No
11118,Single,Male,80000,0,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,49,No
19441,Single,Male,40000,0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,37,Yes
11104,Married,Male,70000,0,Bachelors,Professional,No,1,0-1 Miles,Pacific,42,Yes
20824,Single,Male,30000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,Yes
11119,Single,Male,30000,0,Partial College,Clerical,No,2,0-1 Miles,Pacific,71,No
21969,Single,Female,70000,0,Bachelors,Professional,No,1,0-1 Miles,Pacific,38,Yes
13949,Married,Male,80000,0,Graduate Degree,Professional,Yes,0,0-1 Miles,North America,47,Yes
14130,Married,Female,20000,0,Bachelors,Clerical,No,0,0-1 Miles,Pacific,27,Yes
11131,Married,Female,30000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,26,No
28884,Single,Female,170000,3,High School,Professional,No,4,0-1 Miles,Europe,50,No
11138,Married,Female,40000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,28,No
24503,Married,Female,40000,0,Bachelors,Management,Yes,2,0-1 Miles,Pacific,65,Yes
13726,Married,Male,40000,0,Partial College,Clerical,Yes,1,0-1 Miles,North America,52,Yes
11141,Married,Female,40000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,29,No
11142,Single,Male,40000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,29,No
11144,Single,Male,40000,0,High School,Skilled Manual,No,2,0-1 Miles,North America,27,Yes
11149,Married,Male,40000,0,Bachelors,Management,Yes,2,0-1 Miles,Pacific,65,No
27792,Single,Female,20000,3,High School,Manual,Yes,1,0-1 Miles,Europe,43,Yes
11167,Single,Female,80000,0,Bachelors,Management,No,1,0-1 Miles,North America,34,Yes
22648,Single,Female,40000,0,Bachelors,Clerical,No,0,0-1 Miles,Europe,39,Yes
20199,Married,Female,70000,0,Graduate Degree,Professional,Yes,1,0-1 Miles,North America,47,Yes
11166,Single,Female,70000,0,Partial College,Skilled Manual,No,2,0-1 Miles,North America,34,No
